Nombre_Archivo,Tallo_ID,Altura_Tallo_Pixeles,Timestamp
foto_2025-09-22_16-00-01.jpg,1,94,2025-09-22
foto_2025-09-22_16-00-01.jpg,2,82,2025-09-22
foto_2025-09-22_16-00-01.jpg,3,70,2025-09-22
foto_2025-09-23_09-00-14.jpg,1,101,2025-09-23
foto_2025-09-23_09-00-14.jpg,2,87,2025-09-23
foto_2025-09-23_09-00-14.jpg,3,71,2025-09-23
foto_2025-09-23_13-00-46.jpg,1,91,2025-09-23
foto_2025-09-23_13-00-46.jpg,2,86,2025-09-23
foto_2025-09-23_13-00-46.jpg,3,62,2025-09-23
foto_2025-09-23_16-00-46.jpg,1,96,2025-09-23
foto_2025-09-23_16-00-46.jpg,2,86,2025-09-23
foto_2025-09-23_16-00-46.jpg,3,70,2025-09-23
foto_2025-09-24_09-00-29.jpg,1,113,2025-09-24
foto_2025-09-24_09-00-29.jpg,2,84,2025-09-24
foto_2025-09-24_09-00-29.jpg,3,63,2025-09-24
foto_2025-09-25_09-00-48.jpg,1,105,2025-09-25
foto_2025-09-25_09-00-48.jpg,2,83,2025-09-25
foto_2025-09-25_09-00-48.jpg,3,65,2025-09-25
foto_2025-09-07_16-00-03.jpg,1,73,2025-09-07
foto_2025-09-07_16-00-03.jpg,2,78,2025-09-07
foto_2025-09-07_16-00-03.jpg,3,81,2025-09-07
foto_2025-09-16_09-00-21.jpg,1,100,2025-09-16
foto_2025-09-16_09-00-21.jpg,2,78,2025-09-16
foto_2025-09-16_09-00-21.jpg,3,64,2025-09-16
foto_2025-09-25_13-00-42.jpg,1,94,2025-09-25
foto_2025-09-25_13-00-42.jpg,2,83,2025-09-25
foto_2025-09-25_13-00-42.jpg,3,61,2025-09-25
foto_2025-09-25_16-00-52.jpg,1,97,2025-09-25
foto_2025-09-25_16-00-52.jpg,2,83,2025-09-25
foto_2025-09-25_16-00-52.jpg,3,65,2025-09-25
foto_2025-09-26_13-00-24.jpg,1,101,2025-09-26
foto_2025-09-26_13-00-24.jpg,2,85,2025-09-26
foto_2025-09-26_13-00-24.jpg,3,60,2025-09-26
foto_2025-09-26_16-00-35.jpg,1,102,2025-09-26
foto_2025-09-26_16-00-35.jpg,2,85,2025-09-26
foto_2025-09-26_16-00-35.jpg,3,68,2025-09-26
foto_2025-09-27_13-00-49.jpg,1,101,2025-09-27
foto_2025-09-27_13-00-49.jpg,2,82,2025-09-27
foto_2025-09-27_13-00-49.jpg,3,68,2025-09-27
foto_2025-09-27_16-00-02.jpg,1,95,2025-09-27
foto_2025-09-27_16-00-02.jpg,2,83,2025-09-27
foto_2025-09-27_16-00-02.jpg,3,60,2025-09-27
