imagen,timestamp,planta_id,numero_plantas_total,area_plantcv,perimetro_opencv,solidez_opencv,precision,f1_score
webcam_2025-09-01_13-00-08,2025-09-01 13:00:08,2,3,491.0,107.6984840631485,0.8774900380926494,0.4516825010413439,0.38032452332474426
webcam_2025-09-01_13-00-08,2025-09-01 13:00:08,3,3,495.0,118.72792184352875,0.8935516870142238,0.29624407675453956,0.24878417718537596
webcam_2025-09-01_16-00-21,2025-09-01 16:00:21,1,3,726.0,142.76955199241638,0.7497155850401416,0.43632863223882884,0.35819193289347506
webcam_2025-09-01_16-00-21,2025-09-01 16:00:21,2,3,642.0,126.87005722522736,0.8132867121492493,0.43026000779219237,0.3593084828498837
webcam_2025-09-01_16-00-21,2025-09-01 16:00:21,3,3,625.0,140.3847759962082,0.8343328323323346,0.3008587653697272,0.24991384809510386
webcam_2025-09-02_09-00-01,2025-09-02 09:00:01,1,3,616.0,114.62741661071777,0.9265070174624161,0.5483963627159913,0.4741774206799914
webcam_2025-09-02_09-00-01,2025-09-02 09:00:01,2,3,665.0,135.4558436870575,0.851667848329783,0.4025154190829002,0.338702936147472
webcam_2025-09-02_09-00-01,2025-09-02 09:00:01,3,3,649.0,122.66904675960541,0.8779585785829015,0.5059216185579573,0.4315102743400448
webcam_2025-09-02_13-00-03,2025-09-02 13:00:03,1,3,492.0,100.62741661071777,0.9202072519788451,0.5546379255299462,0.4749402255608209
webcam_2025-09-02_13-00-03,2025-09-02 13:00:03,2,3,546.0,111.11269783973694,0.8659070975181296,0.4675423348838234,0.3949378126309271
webcam_2025-09-02_13-00-03,2025-09-02 13:00:03,3,3,252.0,61.31370830535889,0.946695091911748,0.6756466338799815,0.5747914465207239
webcam_2025-09-02_16-00-02,2025-09-02 16:00:02,1,3,585.0,111.4558436870575,0.9260226267606221,0.5469985494395199,0.47192915036937405
webcam_2025-09-02_16-00-02,2025-09-02 16:00:02,2,3,568.0,134.04163014888763,0.8260869551663873,0.32860105154198843,0.27126239083595344
webcam_2025-09-02_16-00-02,2025-09-02 16:00:02,3,3,510.0,110.87005722522736,0.8363802544124675,0.4273099515552266,0.35610989005913934
webcam_2025-09-03_09-00-28,2025-09-03 09:00:28,1,3,729.0,123.11269795894623,0.9085985092639154,0.5568496506976076,0.4837027175502743
webcam_2025-09-03_09-00-28,2025-09-03 09:00:28,2,3,674.0,131.69848430156708,0.8208053680257646,0.3859382791489746,0.3232840118494541
webcam_2025-09-03_09-00-28,2025-09-03 09:00:28,3,3,651.0,121.94112467765808,0.911042943387971,0.47461714605944705,0.40856054807728664
webcam_2025-09-03_13-00-09,2025-09-03 13:00:09,1,3,582.0,121.35533821582794,0.8657331122475567,0.447434871969899,0.37715065238714074
webcam_2025-09-03_13-00-09,2025-09-03 13:00:09,2,3,573.0,116.28427076339722,0.9048034918693388,0.41287965841496704,0.3523918841083405
webcam_2025-09-03_13-00-09,2025-09-03 13:00:09,3,3,542.0,125.79898953437805,0.8825688057200572,0.2892946773162133,0.2428378312036308
webcam_2025-09-03_16-00-06,2025-09-03 16:00:06,1,3,582.0,118.87005722522736,0.8952299814391312,0.47449843366329225,0.40376733524929675
webcam_2025-09-03_16-00-06,2025-09-03 16:00:06,2,3,449.0,102.14213538169861,0.9109589020297743,0.41409137652652256,0.35075360327615673
webcam_2025-09-03_16-00-06,2025-09-03 16:00:06,3,3,291.0,71.55634880065918,0.9661016912764532,0.5787897524188321,0.4944909380209963
webcam_2025-09-04_09-00-17,2025-09-04 09:00:17,1,3,704.0,129.35533845424652,0.860294116496933,0.4824587767492064,0.4106983847931199
webcam_2025-09-04_09-00-17,2025-09-04 09:00:17,2,3,683.0,138.76955199241638,0.8239999989013334,0.36272813568312245,0.3030344335676539
webcam_2025-09-04_09-00-17,2025-09-04 09:00:17,3,3,622.0,121.69848418235779,0.8931962011183604,0.4313717313463784,0.3682334336390711
webcam_2025-09-04_13-00-14,2025-09-04 13:00:14,1,3,707.0,124.62741661071777,0.9336219322747158,0.536372162353664,0.46688127271420665
webcam_2025-09-04_13-00-14,2025-09-04 13:00:14,2,3,711.0,140.28427076339722,0.7960444983979672,0.40653886704562786,0.3379576459611844
webcam_2025-09-04_13-00-14,2025-09-04 13:00:14,3,3,717.0,155.69848430156708,0.7527826587547948,0.36462872916944494,0.29687311445720976
webcam_2025-09-04_16-00-26,2025-09-04 16:00:26,1,3,707.0,129.4558436870575,0.9052631566241921,0.4929704788389581,0.4246151466046625
webcam_2025-09-04_16-00-26,2025-09-04 16:00:26,2,3,680.0,155.4558436870575,0.7619647345567194,0.3041554894038072,0.247194136429651
webcam_2025-09-04_16-00-26,2025-09-04 16:00:26,3,3,662.0,126.87005710601807,0.8924332330972801,0.3973490360037467,0.3397439350105745
webcam_2025-09-05_09-00-10,2025-09-05 09:00:10,1,3,588.0,113.4558436870575,0.9112627970797563,0.5283347454526962,0.45363617020522595
webcam_2025-09-05_09-00-10,2025-09-05 09:00:10,2,3,619.0,136.04163002967834,0.898538959580294,0.2978733253960388,0.25217070931606095
webcam_2025-09-05_09-00-10,2025-09-05 09:00:10,3,3,585.0,120.52691125869751,0.8678160905290376,0.42529321938851833,0.35905012151761706
webcam_2025-09-05_13-00-24,2025-09-05 13:00:24,1,3,607.0,117.69848430156708,0.9253355689172222,0.5130137224211377,0.4418570954103838
webcam_2025-09-05_13-00-24,2025-09-05 13:00:24,2,3,593.0,122.18376553058624,0.8646253007822315,0.4212296123329138,0.3553179016356087
