imagen,timestamp,planta_id,numero_plantas_total,area,ndvi_mean,ndvi_std
foto_2025-09-05_09-00-10,2025-09-05 09:00:10,3,3,904.0,-0.05257922038435936,0.0876561850309372
foto_2025-09-06_09-00-26,2025-09-06 09:00:26,1,3,613.0,-0.05383036285638809,0.11363771557807922
foto_2025-09-06_09-00-26,2025-09-06 09:00:26,2,3,544.5,-0.03066851757466793,0.10274530947208405
foto_2025-09-06_09-00-26,2025-09-06 09:00:26,3,3,832.5,-0.05211438611149788,0.07052810490131378
foto_2025-09-06_13-00-06,2025-09-06 13:00:06,1,3,703.5,-0.14515285193920135,0.12015017867088318
foto_2025-09-06_13-00-06,2025-09-06 13:00:06,2,3,622.0,-0.1549510806798935,0.12247361987829208
foto_2025-09-06_13-00-06,2025-09-06 13:00:06,3,3,890.0,-0.1784657984972,0.08070094883441925
foto_2025-09-06_16-00-18,2025-09-06 16:00:18,1,3,631.5,-0.028629867359995842,0.1093505322933197
foto_2025-09-06_16-00-18,2025-09-06 16:00:18,2,3,485.0,-0.019298188388347626,0.10500659793615341
foto_2025-09-06_16-00-18,2025-09-06 16:00:18,3,3,858.5,-0.004565155133605003,0.06214413419365883
foto_2025-09-07_09-00-15,2025-09-07 09:00:15,1,3,650.0,-0.029141636565327644,0.11447349190711975
foto_2025-09-07_09-00-15,2025-09-07 09:00:15,2,3,492.5,-0.042882416397333145,0.1077970638871193
foto_2025-09-07_09-00-15,2025-09-07 09:00:15,3,3,813.5,-0.043083202093839645,0.07899302244186401
foto_2025-09-07_13-00-25,2025-09-07 13:00:25,1,3,677.5,-0.25912004709243774,0.21883805096149445
foto_2025-09-07_13-00-25,2025-09-07 13:00:25,2,3,639.0,-0.2887069880962372,0.19322951138019562
foto_2025-09-07_13-00-25,2025-09-07 13:00:25,3,3,844.0,-0.3943238854408264,0.13478930294513702
foto_2025-09-07_16-00-04,2025-09-07 16:00:04,1,3,727.0,-0.0549791119992733,0.10799950361251831
foto_2025-09-07_16-00-04,2025-09-07 16:00:04,2,3,597.5,-0.03215412795543671,0.12138616293668747
foto_2025-09-07_16-00-04,2025-09-07 16:00:04,3,3,846.5,-0.05643731728196144,0.08568312972784042
foto_2025-09-08_09-00-11,2025-09-08 09:00:11,1,3,706.0,-0.1567048877477646,0.13308346271514893
foto_2025-09-08_09-00-11,2025-09-08 09:00:11,2,3,580.0,-0.15305592119693756,0.13541856408119202
foto_2025-09-08_09-00-11,2025-09-08 09:00:11,3,3,929.5,-0.17676199972629547,0.08709316700696945
foto_2025-09-08_13-00-00,2025-09-08 13:00:00,1,3,721.5,-0.150382399559021,0.11965790390968323
foto_2025-09-08_13-00-00,2025-09-08 13:00:00,2,3,607.0,-0.15889041125774384,0.11948823183774948
foto_2025-09-08_13-00-00,2025-09-08 13:00:00,3,3,917.5,-0.18475595116615295,0.07780329138040543
foto_2025-09-08_16-00-13,2025-09-08 16:00:13,1,3,704.5,-0.07620222866535187,0.11235041171312332
foto_2025-09-08_16-00-13,2025-09-08 16:00:13,2,3,533.5,-0.06215406954288483,0.11470073461532593
